formula,target
HoS,1
BaLaCl5,1
SmTe3,1
Te3SeO8,1
Bi2Rh3S2,1
Mn3CrO8,1
Co(ReO4)2,1
CrP2S7,1
Ba2Cr3O8,1
Y2GeI2,1
Yb3(SF2)2,1
BaCr4O8,1
CuS2,1
Al(HO)3,1
BaLaBr5,1
Mg2H2O3,1
AgAuCl4,1
Pr4C2Cl5,1
Sr2Cu(BrO)2,1
Co(HO)2,1
MnPSe3,1
ZnGe2WO6,1
V2CuO6,1
CeBrO,1
TeHO3,1
VINCl3,1
Li2Cr2O7,1
S(IN)2,1
LiP(HO)2,1
U2Te5,1
TiMn2O6,1
Mg2Sn3O8,1
LiCuF4,1
AgTeO3,1
NaB(CO2)4,1
CdI2,1
CaP2(H2O3)3,1
Fe3Se4,1
Hg3As,1
Bi2Te3,1
Bi2OF4,1
La2Si(IO2)2,1
NiPS3,1
FeP3(H2O3)3,1
ZrBr,1
K2Bi3F11,1
Li2(FeO2)3,1
BiSbO3,1
SnSO4,1
BaH9IO5,1
Mn2CrO6,1
Co(IO3)2,1
Mn2CoO6,1
V2NiSe4,1
Nb2SiTe4,1
HfSe2,1
HfTe2,1
LiCu3F10,1
Sr2CoO3,1
V3H5O8,1
FeCl3,1
Ca(SnN)2,1
Zr2HBr2,1
Ta2MnZn2O8,1
Cu(IO3)2,1
CuO2F,1
TlBrO3,1
PtI4,1
Sc(IO3)3,1
EuIO,1
MgNiP2O7,1
Ba2Ni3O8,1
Hg,1
Ba2Mn3O7,1
TiF4,1
Ta4Co2PdSe12,1
Sc5Cl8,1
W3O8,1
Ti(FeSe2)2,1
Zn(SbO2)4,1
TlPd2Se3,1
LaP3H8O7,1
MgCl2O,1
MgSiO3,1
Cr(CoO3)2,1
CaSnS3,1
Mo3O8,1
Co2C2O7,1
DyCoSi2,1
TlV3(SeO6)2,1
GePt,1
Li2Cu2F5,1
Mn(IO3)2,1
LuBrO,1
Sb4I2O5,1
AuBrO2,1
InSiTe3,1
GeSe,1
Sr2Co(ClO)2,1
CuGe2P3,1
W3Se2ClO8,1
Ca2Bi10O17,1
BaH4O3,1
Sn2SbS2I3,1
YBr3,1
RuCl3,1
LaO3,1
H3Pt,1
Li2V3(CO3)6,1
AlP,1
Ca3(HO3)2,1
CuO2,1
Ba2Tl2W3O10,1
Na2FeO2,1
InPbCl3,1
RbCrClO3,1
TiSn(PO4)2,1
MoF4,1
Bi2TeSe2,1
SrTcN3,1
V3(HO2)4,1
Li2Nb(PO4)2,1
AsAuO3,1
AlSiTe3,1
Fe(CoO3)2,1
TaSe3,1
Ge2Sb2Te5,1
BeF2,1
Al2SnCl6O,1
FeTe(PO4)2,1
FeO3,1
Cu2WS4,1
CrBr2,1
Si(HgO2)2,1
Cu2BiAsO6,1
Tl2Te2O5,1
UCO5,1
TlFeS2,1
TlW2(Cl3O)2,1
CaCr4O9,1
GdZnPO,1
NdZnPO,1
CoBiO3,1
CoTeMoO6,1
Sr3Fe2S2O5,1
Li3V(OF)2,1
Cu2As4S3Cl2,1
VBr2O,1
Sr(ClO2)2,1
Mg(ReO4)2,1
NpBr3,1
Er2Te5O13,1
Ba3In2Br2O5,1
FeTeBr7,1
Tl4SnS3,1
ZnSb4O9,1
MgGeO3,1
Ca(SbO2)4,1
MgBi4O9,1
Li3MnP2,1
GaAg(PSe3)2,1
BaH2O3,1
SbP2O7,1
Ni(HO)2,1
CaHClO,1
HfNCl,1
TiNiO3,1
KH4O2F,1
Sr2Cu(BiO3)2,1
LiFe2C2O7,1
Tb2C,1
Gd2CF2,1
WO2,1
V2CdO6,1
Nb3IrS8,1
Mo2HO6,1
NaAsO2,1
MgCr4O9,1
LiVOF3,1
SrBr3,1
AuBr,1
LiFeO2,1
UF6,1
Fe(CO3)2,1
LiMnF4,1
V2Cu2O7,1
CaLaI5,1
BeCrO4,1
La2PI2,1
Mn(CO3)2,1
CoH6(SeO4)2,1
GeAs,1
SiH2O,1
CuTeO4,1
CdTeMoO6,1
AgI2,1
In3Te4,1
CoPS3,1
MnNb2Zn2O8,1
Rb2Hg2PdCl8,1
CuH2(CO2)2,1
MgSnO2,1
TiTlPS5,1
TiCd,1
Sr2TiCu2O7,1
YWF5,1
SrH4(SO4)3,1
Nb2TeO8,1
MnSbSe2Br,1
DyBC,1
Sr2FeSO3,1
Cd3Se3O10,1
SrCO3,1
GaPS4,1
Ca2FeClO3,1
BSbO3,1
BaTl(NiO3)2,1
YNiF5,1
LiAgF4,1
PPdSe,1
BaTaCuO5,1
Ba3BPO7,1
Ti(BiO3)2,1
LiMnCr2O6,1
Fe4S5,1
MgV2O6,1
Ag2Se,1
UTeN,1
NdTe2Se,1
