formula,target
B8Ru10Sc4,0
CuLi2S2,1
Ca2O22Ta8,0
As6Na2O24Sn4,0
CoC2I2H4N4,1
AsS2Ti2,1
Gd4Ni4O12,0
CdS2,1
Ge6Li6,0
I6O22Y2,0
B4Fe2Rh10Ti4,0
Cd,1
Cs4S8Zn6,0
C2Rb2Ru2O4I8,1
Br12Mo4,0
CeMg,1
Hf2Cl8,0
AgAlS2,0
C2K2O6,1
C2Sr,0
Ag2I2Se4,1
K6Na2O18Os4,0
C2F2Sr2S6,1
Na2O8Pd6,0
Au2F2S3As4,1
AgCu4Sm,0
K2Bi3F11,1
SrP2(HO)4,1
Co2Ta4Te10,1
B4Ni4Y2,0
HfN2,1
Fe8K12S16,0
OSCl2Y2,1
Nb4O4I12,0
Mg2Pb,1
GaTlS2,1
MoOsCl6,1
O12Sb4,0
AsF6Li,0
B2Li2H8S8,1
Se2Ir4S6,1
O20Sc8Se4,0
Fe2Ge2Sr2,1
F6NaRhTl2,0
CO2,1
F2P2Se2O10,0
Cd4N8O24,0
Cs4S20Sb4Sn6,0
TiY,0
CrCu2Si,0
Ba6Cu2O18Sb4,0
Br2Cs4N6,0
AgHgAsS3,1
Be24P16,0
NMn2S2,1
AuIn2,0
LiS2V,0
Br16Rb8Zn4,0
C8H12N4O14S2Sr2,0
B2DyFe2,0
Al6H6O20Si4,0
Pt2Br6,1
NbOS,1
B2Ca2Ni8,0
Br4Te6,0
BrIIrRuSe2,1
Cr4Cs2Eu2O16,0
Sn2S6,1
Cd2Ge2Li4S8,0
C3Ca2Na2O9,0
Ba6Ni3Si9,0
C2Rb2Te2F6O6,1
Ga3H12Li2O24Te6,0
Sb2Te3,1
Hg4O12Se4,0
B8H32Na2Yb2,0
Fe2K2N2O14P2,0
Al4Ca4O10,0
P2S6V2,0
TaNiTe5,1
BrTeTi,1
Re8Sc12Si16,0
Br2Ni2Sr3S5,1
As4Cs4Pt2,0
Ba4Mn3NdO12,0
Cu2I2N2S2,1
Al8Cu4Pr,0
GaP,1
Cu2F2O4,0
Bi12O18,0
As10Br6In8O24,0
Cu4O4Rb4,0
Mn2Ni2O12Sc4,0
Bi2ClInS4,0
MnSTi,0
B4Be2Ir10Mg4,0
NWI4,0
Br32W12,0
FePd3,0
F20In6Rb2,0
IrLi8O6,0
Al8K2O24Si4,0
H2P2Se2O10,0
I2O2Y2,1
TiAl2Br8,0
Co3O4,1
BrCdClHgS2,1
C8H12Cd2O4S8,0
OI2Ti2,1
S12Y8,0
Cs2S2Cd4F6O6,1
HgLiO2Cl3,0
Cl2Sn2,1
Cl2Cu3NiO6,0
K8O28Si8Zr4,0
NNbOZrCl2,1
Co2Bi4Cl4S6,1
Co4Ge4Lu4,0
ZrZn,1
TiC2,1
Nb4O16Sb4,0
CaSn2,1
Au8K4,0
C2Cl2Pb2,1
Fe2S8Yb4,0
AlNi3,0
As4Cd2O14Sr2,0
Al2O3,1
Cd2Cs4Br8,1
ErFeGe2,1
Ga2Mn2Te5,1
B2In2O6,0
AlCa,0
Se2Ta2Te2Co4,1
Hf12Pd4Sb28,0
B4Fe2Ir10Sc4,0
Ta3I7,1
Br2Nb4S12,1
Hf18Re8Se2,0
Mo6S8Sr,0
NiZrBr6,1
H16Mg4O20Se4,0
TiV2CrO10,1
Ca2Ni8Sn4,0
F2Ni2O4,1
Se8Sm6,0
GeS2,1
Pt12Zr4,0
Ag28P4S24,0
CI4,1
Au8Hf8In4,0
BiBrGeISSn,1
Ag2Sb2Sr2,0
GaLiP2S6,1
HfPd2F8,1
C4H16Eu4Na4O28P8,0
Cs2Se2Cd4Br6S6,1
F4H16N4O16S4Sn4,0
C6Au3K3N6,0
Ga6Pd2Sr2,0
Mo24Ni10O2,0
N12Zn2,0
Na2O12Si4V2,0
C4Nb16Ni8,0
Bi2ClInS4,0
AlPt2,1
Ge8Lu6,0
AlCl,1
Lu8Pt4,0
Pt10Se8,0
Ir2F6,1
Ga8Nd2Ni2,0
Pt4Si4Sm2,0
Cl2Ga2Te2,1
NbCl2,1
Mn4Na8O10,0
ClINb2O3,1
I2Si2Te2,1
Cl2O6Sr,0
Li6Si,0
OsCl4,1
Ca2H4O12P2,0
InTeCl,1
Ni6Sb8Zr6,0
Ba6Li2N2,0
Sn3PO6,1
AlNaO8S2,0
BaClI,1
F4H8O4Rb4,0
As4Pd4Te4,1
BaRu4Sb12,0
B2Ge6V10,0
Bi13O20,0
AsCuOCl3,1
B2Ca2CuH12O12,0
Ca4O24Ti8,0
Al8Cd2O14,0
F2Ge2P2O6,1
NbPd2,0
As2LaLi3,0
Mo4Na4O28P8,0
N2Na2Ru2S2F10,1
NiC2I2B4F4,1
GeIKO6,0
I6La6Ru2,0
B8Os4Ta8,0
Cl2Hg2O2,1
Ag2As2O4,1
Cr3S4,1
La4S12Sc4,0
Cs2I12Ta2,0
Cr2W2Se8,1
Eu2O6Ti2,0
NaSbMoO5,1
Mn8O24Sr14,0
NI2Sc2,1
Cu2I2Te6As8,0
VAg(PSe3)2,1
CrW3Te8,1
