formula,sg,xc,flg
In6Y10,193,{'pbe': {}},
Cr4Na4O28P8,14,"{'pbe': {'am': 12.75, 'tm': 12.0}}",
CInSm3,221,"{'pbe': {'am': 17.87, 'tm': 16.94}}",
Au2Gd,139,"{'pbe': {'am': 7.14, 'tm': 7.07}}",
Cs8Mo4Se16,62,{'pbe': {}},
H16K2N6,20,{'pbe': {}},
C4H16Eu4Na4O28P8,14,"{'pbe': {'am': 25.85, 'tm': 24.0}}",
Pb2Pt2,194,{'pbe': {}},
Mn2Rb2Sb2,129,"{'pbe': {'am': 9.96, 'tm': 9.6}}",
Bi2O10Pb2V2,1,{'pbe': {}},
KLuMo2O8,164,{'pbe': {}},
CaO24P6Ti4,148,{'pbe': {}},
Ca2LiSi,225,{'pbe': {}},
Hf2Sb10Sm6,193,"{'pbe': {'am': 35.07, 'tm': 32.68}}",
Ag4Eu2,74,"{'pbe': {'am': 14.23, 'tm': 14.18}}",
Mg8O24Si8,14,{'pbe': {}},['th']
Mg2Xe2,129,{'pbe': {}},"['th', 'hp']"
Cu2MnSn,225,"{'pbe': {'am': 4.22, 'tm': 3.91}}",
F14I2Pb8,63,{'pbe': {}},
GdIn,123,"{'pbe': {'am': 7.3, 'tm': 7.19}}",
Ba8Bi4Ga4Se20,62,{'pbe': {}},
Ge6Ta10,193,{'pbe': {}},
As4Cl8F12,85,{'pbe': {}},
Re4S8,2,{'pbe': {}},
Mn4O16Rb4,62,{'pbe': {}},
Ga6Zr4,43,{'pbe': {}},
Fe2O7Sr3,139,"{'pbe': {'am': 6.91, 'tm': 6.72}}",
Br6IrK2,225,"{'pbe': {'am': 1.22, 'tm': 1.11}}",
Cu4La6S14,173,{'pbe': {}},
Cl6Gd4N2,12,"{'pbe': {'am': 28.13, 'tm': 28.0}}",
